0:0:0:0:0:0:0:1 - - [28/Aug/2023:19:59:07 -0800] "GET /DynamicWebProject/about.jsp HTTP/1.1" 200 1414
0:0:0:0:0:0:0:1 - - [28/Aug/2023:19:59:07 -0800] "GET /DynamicWebProject/script.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Aug/2023:19:59:17 -0800] "GET /DynamicWebProject/about.jsp HTTP/1.1" 200 1414
0:0:0:0:0:0:0:1 - - [28/Aug/2023:19:59:17 -0800] "GET /DynamicWebProject/script.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:00:32 -0800] "GET /DynamicWebProject/about.jsp HTTP/1.1" 200 1415
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:00:32 -0800] "GET /DynamicWebProject/script.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:00:32 -0800] "GET /DynamicWebProject/assets/js/scripts.js HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:02:06 -0800] "GET /DynamicWebProject/about.jsp HTTP/1.1" 200 1419
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:02:06 -0800] "GET /DynamicWebProject/script.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:02:06 -0800] "GET /DynamicWebProject/assets/js/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:03:50 -0800] "GET /DynamicWebProject/about.jsp HTTP/1.1" 200 1476
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:03:50 -0800] "GET /DynamicWebProject/assets/css/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:03:50 -0800] "GET /DynamicWebProject/script.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:03:50 -0800] "GET /DynamicWebProject/assets/images/13-BulldogFullColor.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:03:50 -0800] "GET /DynamicWebProject/assets/js/scripts.js HTTP/1.1" 200 451
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:04:37 -0800] "GET /DynamicWebProject/about.jsp HTTP/1.1" 200 1482
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:04:37 -0800] "GET /DynamicWebProject/script.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:04:37 -0800] "GET /DynamicWebProject/assets/js/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:06:13 -0800] "GET /DynamicWebProject/about.jsp HTTP/1.1" 200 1547
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:06:13 -0800] "GET /DynamicWebProject/script.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:06:13 -0800] "GET /DynamicWebProject/assets/js/scripts.js HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:09:29 -0800] "GET /DynamicWebProject/about.jsp HTTP/1.1" 200 1597
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:09:29 -0800] "GET /DynamicWebProject/assets/images/13-BulldogFullColor.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:09:29 -0800] "GET /DynamicWebProject/assets/css/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:09:29 -0800] "GET /DynamicWebProject/assets/js/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:16:47 -0800] "GET /DynamicWebProject/index.jsp HTTP/1.1" 200 2832
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:16:47 -0800] "GET /DynamicWebProject/assets/css/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:16:47 -0800] "GET /DynamicWebProject/script.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:16:47 -0800] "GET /DynamicWebProject/assets/images/13-BulldogFullColor.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Aug/2023:20:16:47 -0800] "GET /DynamicWebProject/assets/js/scripts.js HTTP/1.1" 304 -
